,faculty_designation,member_name,study_leave,head,sex
0,Professor ,Dr. M. Kaykobad ,,head,male
1,Professor ,Dr. Muhammad Masroor Ali ,,,
2,Professor ,Dr. Md. Abul Kashem Mia ,,,
3,Professor ,Dr. Md. Saidur Rahman ,,,
4,Professor ,Dr. Md. Monirul Islam ,,,
5,Professor ,Dr. Md. Mostofa Akbar ,,,
6,Professor ,Dr. Abu Sayed Md. Latiful Hoque ,,,
7,Professor ,Dr. Mohammad Mahfuzul Islam ,,,
8,Professor ,Dr. M. Sohel Rahman ,,,
9,Professor ,Dr. A.K.M. Ashikur Rahman ,,,
10,Professor ,Dr. Mohammed Eunus Ali ,,,
11,Professor ,Dr. Mahmuda Naznin ,,,female
12,Professor ,Dr. Md. Monirul Islam ,,,
13,Professor ,Dr. Tanzima Hashem ,,,female
14,Associate Professor ,Md. Abdus Sattar ,,,
15,Associate Professor ,Dr. S. M. Farhad ,,,
16,Associate Professor ,Dr. Md. Shohrab Hossain ,,,
17,Associate Professor ,Dr. A. B. M. Alim Al Islam ,,,
18,Assistant Professor ,Abu Wasif ,,,
19,Assistant Professor ,Khaled Mahmud Shahriar ,,,
20,Assistant Professor ,Dr. Muhammad Abdullah Adnan ,,,
21,Assistant Professor ,Md. Shariful Islam Bhuyan ,,,
22,Assistant Professor ,Dr. Rifat Shahriyar ,,,
23,Assistant Professor ,Dr. Md. Shamsuzzoha Bayzid ,,,
24,Assistant Professor ,Sukarna Barua ,,,female
25,Assistant Professor ,Dr. Anindya Iqbal ,,,
26,Assistant Professor ,Mohammad Saifur Rahman ,,,
27,Assistant Professor ,Dr. Sadia Sharmin ,,,
28,Assistant Professor ,Dr. Atif Hasan Rahman ,,,
29,Assistant Professor ,Muhammad Ali Nayeem ,,,
30,Assistant Professor ,Md. Aashikur Rahman Azim ,,,
31,Assistant Professor ,Toufique Ahmed ,,,
32,Assistant Professor ,Abdus Salam Azad ,,,
33,Assistant Professor ,Md. Ishat - E - Rabban ,,,
34,Assistant Professor ,Siddhartha Shankar Das ,,,
35,Lecturer ,Md. Iftekharul Islam Sakib ,,,
36,Lecturer ,Madhusudan Basak ,,,
37,Lecturer ,Ishtiyaque Ahmad ,,,
38,Lecturer ,Nazmus Saquib ,,,
39,Lecturer ,Md. Tarikul Islam Papon ,,,
40,Lecturer ,Mehnaz Tabassum Mahin ,,,female
41,Lecturer ,Shareef Ahmed ,,,
42,Lecturer ,Ch. Md. Rakin Haider ,,,
43,Lecturer ,Mahmudur Rahman Hera ,,,
44,Lecturer ,Abida Sanjana Shemonti ,,,female
45,Lecturer ,Md. Saiful Islam ,,,
46,Lecturer ,Mahjabin Nahar ,,,female
